Ecosystem,Package Name,URL,Latest Version,Latest Version Updated,Source,Excluded,Criticality Score,Analysis Date,Results
github,numpy,https://github.com/numpy/numpy,,,wg/ossf,,,,
github,MariaDB,https://github.com/mariadb,,,wg/ossf,,,,
github,log4j,https://github.com/apache/logging-log4j2,,,wg/ossf,,,,
go,code.googlesource.com/gocloud,,,,Harvard Census II,,,,
go,code.googlesource.com/google-api-go-client,,,,Harvard Census II,,,,
go,github.com/apache/thrift,,,,Harvard Census II,,,,
go,github.com/armon/go-metrics,,,,Harvard Census II,,,,
go,github.com/asaskevich/govalidator,,,,Harvard Census II,,,,
go,github.com/aws/aws-sdk-go,,,,Harvard Census II,,,,
go,github.com/aws/aws-sdk-go-v2,,,,Harvard Census II,,,,
go,github.com/azure/azure-sdk-for-go,,,,Harvard Census II,Yes,,,
go,github.com/azure/go-autorest,,,,Harvard Census II,Yes,,,
go,github.com/beorn7/perks,,,,Harvard Census II,,,,
go,github.com/blang/semver,,,,Harvard Census II,,,,
go,github.com/bsm/sarama-cluster,,,,Harvard Census II,,,,
go,github.com/BurntSushi/toml,,,,Harvard Census II,,,,
go,github.com/casbin/casbin,,,,Harvard Census II,,,,
go,github.com/census-instrumentation/opencensus-go,,,,Harvard Census II,,,,
go,github.com/cespare/xxhash,,,,Harvard Census II,,,,
go,github.com/cilium/ebpf,,,,Harvard Census II,,,,
go,github.com/cloudflare/cfssl,,,,Harvard Census II,,,,
go,github.com/codegangsta/cli,,,,Harvard Census II,,,,
go,github.com/containerd/cgroups,,,,Harvard Census II,,,,
go,github.com/containerd/containerd,,,,Harvard Census II,,,,
go,github.com/containerd/continuity,,,,Harvard Census II,,,,
go,github.com/containerd/cri,,,,Harvard Census II,,,,
go,github.com/containernetworking/cni,,,,Harvard Census II,,,,
go,github.com/containernetworking/plugins,,,,Harvard Census II,,,,
go,github.com/coreos/etcd,,,,Harvard Census II,,,,
go,github.com/coreos/go-systemd,,,,Harvard Census II,,,,
go,github.com/DataDog/zstd,,,,Harvard Census II,,,,
go,github.com/davecgh/go-spew,,,,Harvard Census II,,,,
go,github.com/dgrijalva/jwt-go,,,,Harvard Census II,,,,
go,github.com/docker/cli,,,,Harvard Census II,,,,
go,github.com/docker/distribution,,,,Harvard Census II,,,,
go,github.com/docker/docker,,,,Harvard Census II,,,,
go,github.com/docker/libnetwork,,,,Harvard Census II,,,,
go,github.com/docker/swarmkit,,,,Harvard Census II,,,,
go,github.com/dustin/go-humanize,,,,Harvard Census II,,,,
go,github.com/eapache/go-resiliency,,,,Harvard Census II,,,,
go,github.com/eapache/go-xerial-snappy,,,,Harvard Census II,,,,
go,github.com/eapache/queue,,,,Harvard Census II,,,,
go,github.com/emicklei/go-restful,,,,Harvard Census II,,,,
go,github.com/envoyproxy/go-control-plane,,,,Harvard Census II,,,,
go,github.com/etcd-io/bbolt,,,,Harvard Census II,,,,
go,github.com/etcd-io/etcd,,,,Harvard Census II,,,,
go,github.com/evanphx/json-patch,,,,Harvard Census II,,,,
